,name,prices,rating,url
46,ZOTAC GeForce GTX 1070 Mini 8GB GDDR5 VR Ready Super Compact Gaming Graphics Card (ZT-P10700G-10M),{'Base price': ['Suggested Retail Price: $489.99']},4.3 out of 5 stars,https://www.amazon.com/ZOTAC-GeForce-Compact-Graphics-ZT-P10700G-10M/dp/B01LLAJ8PU/ref=sr_1_47/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-47&keywords=GPU
47,Review: ROG Zenith Extreme: a quad GPU motherboard?,{},,https://www.amazon.com/Review-Zenith-Extreme-quad-motherboard/dp/B0764M8GQ2/ref=sr_1_48/137-9174457-7690620?ie=UTF8&qid=1531724488&sr=8-48&keywords=GPU
48,SPARTAN V2 Open Air GPU Mining Rig Frame Computer Case Chassis - Ethereum ETH Zcash ZEC Monero XMR,{},3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0429215YE0KI31IN138&url=https%3A%2F%2Fwww.amazon.com%2FSPARTAN-Mining-Frame-Computer-Chassis%2Fdp%2FB0764MTTS3%2Fref%3Dsr_1_49_sspa%2F142-9586140-9800619%3Fie%3DUTF8%26qid%3D1531724489%26sr%3D8-49-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724489&id=2606602746202069&widgetName=sp_atf_next
49,Sonnet eGFX Breakaway Puck Radeon RX 570 (Mac & Windows Compatible),{},4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_2?ie=UTF8&adId=A03478753BOU3KPEBTZHZ&url=https%3A%2F%2Fwww.amazon.com%2FSonnet-Breakaway-Radeon-Windows-Compatible%2Fdp%2FB076MHMF3V%2Fref%3Dsr_1_50_sspa%2F142-9586140-9800619%3Fie%3DUTF8%26qid%3D1531724489%26sr%3D8-50-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724489&id=2606602746202069&widgetName=sp_atf_next
50,Gigabyte GeForce GT 710 2GB Graphic Cards GV-N710D5SL-2GL,{},3.5 out of 5 stars,https://www.amazon.com/Gigabyte-GeForce-Graphic-Cards-GV-N710D5SL-2GL/dp/B076CBVV68/ref=sr_1_51/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-51&keywords=GPU
51,ASUS B250 MINING EXPERT LGA1151 DDR4 HDMI B250 ATX Motherboard for Cryptocurrency Mining (BTC) with 19 PCIe Slots and USB 3.1 Gen1,{'Base price': ['Suggested Retail Price: $149.99']},3.9 out of 5 stars,https://www.amazon.com/B250-MINING-EXPERT-Motherboard-Cryptocurrency/dp/B075KFPJ6M/ref=sr_1_52/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-52&keywords=GPU
52,GPU Panic,{},,https://www.amazon.com/GPU-Panic/dp/B01M3O3YD5/ref=sr_1_53/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-53&keywords=GPU
53,Gigabyte GeForce GTX 1070 Ti GAMING 8G (GV-N107TGAMING-8GD),{},4.6 out of 5 stars,https://www.amazon.com/Gigabyte-GeForce-1070-GAMING-GV-N107TGAMING-8GD/dp/B077P9HX2V/ref=sr_1_54/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-54&keywords=GPU
54,"EZDIY-FAB Graphics Card Brace Support. A Video Card Holder, GPU VGA brace, for custom Desktop Pc Gaming. a GPU stand case mod- 3mm Aluminum-Red",{},4.2 out of 5 stars,https://www.amazon.com/EZDIY-FAB-Graphics-Support-Desktop-Aluminum-Red/dp/B079NXHP41/ref=sr_1_55/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-55&keywords=GPU
55,"Mailiya 2-Pack PCIe Risers Dual Chip PCI-E 16x to 1x Powered Riser Adapter Card w/60cm USB 3.0 Extension Cable & 6 Pin PCIe to SATA Power Cable - GPU Riser Adapter Extender Cable,Ethereum Mining ETH",{},4.3 out of 5 stars,https://www.amazon.com/Mailiya-2-Pack-PCIe-Riser-Extension/dp/B07785DVYS/ref=sr_1_56/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-56&keywords=GPU
56,SCASTOE Replacement 40mm 12V 0.10A 2-Pin PC GPU VGA Video Card Heatsink Cooling Fan,{},,https://www.amazon.com/SCASTOE-Replacement-0-10A-Heatsink-Cooling/dp/B0718WBKDQ/ref=sr_1_57/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-57&keywords=GPU
57,NVIDIA Tesla P100 GPU computing processor - Tesla P100 - 16 GB - Centernex update,{},5 out of 5 stars,https://www.amazon.com/NVIDIA-Tesla-P100-computing-processor/dp/B06WV7HFWV/ref=sr_1_58/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-58&keywords=GPU
58,6 GPU Mining Case Rig Aluminum Stackable Preassembled Open Air Frame For Ethereum(ETH)/ETC/ZCash/Monero/BTC Easy Mounting Edition(Just 10 minutes),{},3.4 out of 5 stars,https://www.amazon.com/Aluminum-Stackable-Preassembled-Ethereum-Mounting/dp/B079MBYRK2/ref=sr_1_59/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-59&keywords=GPU
59,Genuine OEM Sony Playstation 3 GPU CXD2979GB Model Repair Part,{},,https://www.amazon.com/Genuine-Playstation-CXD2979GB-Model-Repair/dp/B00B66BEL6/ref=sr_1_60/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-60&keywords=GPU
60,BIOSTAR TB250-BTC+ 8 GPU SUPPORT LGA 1151 Core i7/i5/i3 LGA1151 Intel B250 DDR4,{},3.2 out of 5 stars,https://www.amazon.com/BIOSTAR-TB250-BTC-SUPPORT-LGA1151-Intel/dp/B07481N9LW/ref=sr_1_61/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-61&keywords=GPU
61,8 GPU Stackable Preassemble Mining Case Rig Aluminum Open Air Frame For Ethereum(ETH)/ETC/ZCash/Monero/BTC Easy Mounting Edition(Just 10 minutes),{},4.1 out of 5 stars,https://www.amazon.com/Stackable-Preassemble-Aluminum-Ethereum-Mounting/dp/B079MRMJZL/ref=sr_1_62/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-62&keywords=GPU
62,Open Air Frame Mining Rig Overlying Case Rack For 8 GPU Stackable ETH BTC UDW (Black-F),{},4 out of 5 stars,https://www.amazon.com/Frame-Mining-Overlying-Stackable-Black-F/dp/B078W42S1D/ref=sr_1_63/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-63&keywords=GPU
63,Aluminum GPU Mining Case Rig Open Air Frame For ETH/ETC/ ZCash (6 GPU),{},3.4 out of 5 stars,https://www.amazon.com/Aluminum-Mining-Case-Frame-ZCash/dp/B073SMF21G/ref=sr_1_64/142-9586140-9800619?ie=UTF8&qid=1531724489&sr=8-64&keywords=GPU
